num_planes,solution_index,cost,revisit_time,quality,f_phasing_1,altitude_plane_1_km,inclination_plane_1_deg,high_q_plane_1,med_q_plane_1,low_q_plane_1,f_phasing_2,altitude_plane_2_km,inclination_plane_2_deg,high_q_plane_2,med_q_plane_2,low_q_plane_2,f_phasing_3,altitude_plane_3_km,inclination_plane_3_deg,high_q_plane_3,med_q_plane_3,low_q_plane_3,f_phasing_4,altitude_plane_4_km,inclination_plane_4_deg,high_q_plane_4,med_q_plane_4,low_q_plane_4,f_phasing_5,altitude_plane_5_km,inclination_plane_5_deg,high_q_plane_5,med_q_plane_5,low_q_plane_5,f_phasing_6,altitude_plane_6_km,inclination_plane_6_deg,high_q_plane_6,med_q_plane_6,low_q_plane_6,f_phasing_7,altitude_plane_7_km,inclination_plane_7_deg,high_q_plane_7,med_q_plane_7,low_q_plane_7,f_phasing_8,altitude_plane_8_km,inclination_plane_8_deg,high_q_plane_8,med_q_plane_8,low_q_plane_8,f_phasing_9,altitude_plane_9_km,inclination_plane_9_deg,high_q_plane_9,med_q_plane_9,low_q_plane_9,f_phasing_10,altitude_plane_10_km,inclination_plane_10_deg,high_q_plane_10,med_q_plane_10,low_q_plane_10
10,15,1022529165.3199382,0.19341149926185608,0.7087249159812927,1.09005553400326,751.5329812467834,21.05225546306799,19.615351499129506,0.4222231771839152,0.22617896793177747,2.2930983429624154,522.4079510202853,29.001351247248543,13.818569475538853,0.30296652020361814,3.202336849848948,1.5605137908572904,772.2411237314434,11.683761190431238,17.703919592411832,0.7105062717988263,0.9861924149315666,1.9733298109041626,783.1736929342768,27.874913479859984,12.111316194333028,0.8000740386971572,1.9808357261282494,1.299519685160555,663.6061668950158,23.414358137687415,13.837631437486035,1.3904732412214105,1.7750230376389067,2.6003010205004644,576.6447431954241,7.369184877305324,11.488389912410447,0.3400052846573544,0.5822984937017284,1.4850743270860065,339.29121032661124,10.312494944916764,2.4675368036932066,0.4083061434214123,0.10195194261637205,2.3855733984835505,697.1396992123554,6.400045334533116,1.3636003742945437,0.4729076496060074,0.23094067051009548,2.8535465248769083,757.9747493190806,71.55979961802886,1.7052823218087982,3.070892070854164,2.5637761669923034,2.801952731187481,696.9172196750812,17.57114727486012,0.35243760001077007,0.20577345010866077,1.7445089774482465
10,16,176219239.15770036,0.44178980588912964,0.5849646925926208,0.4511662798559329,771.463563639069,86.77669790823774,1.0197639581335498,17.44625560693759,16.2443583834088,2.73810748053737,754.3080189726109,29.265490276918396,0.0036300144129429723,0.5622101044101361,0.5570307993935293,1.931400549135694,747.7960902220639,10.997587682298697,0.03752787050913409,0.6747371458985072,0.9782869998579208,2.133883782080793,777.0081812260026,11.316072028579526,0.07961575292621381,0.09577000498914245,2.510384547642038,1.2368639471293725,679.8916564907211,5.627267208346228,0.03284534782670301,0.1850815554316158,1.4431791845273032,2.90087875278311,499.92512446527377,37.590815396310866,1.3409158581267677,0.15310537729395152,0.11460852548402388,0.5953970117233242,663.9251997789785,74.2524861858898,0.2173754205827413,1.1568574044721511,0.497743696169542,0.7632909666311536,694.4499185554322,60.386368858108426,1.3321628313310336,1.249619285318884,0.11687284371057052,2.650809541676008,799.9467129408264,57.898556942465206,0.032163848670727524,1.5853347705922638,1.0297986392449858,2.7297390514698985,738.1064521680252,46.31379194020102,0.041638759558474625,0.03904053410960912,1.2321712127553053
10,17,1091892045.2697368,0.2981139123439789,0.7115070223808289,1.0891646102116201,751.5329812467834,21.019898198448892,18.364965463214336,0.41967853091750396,0.9408761636056795,2.3060722637502358,545.0761177272743,29.001351247248543,13.752966747823411,0.5730111155746649,1.3611213085011558,1.534411913457955,373.19599015398524,11.727199681081247,16.86519087108614,0.7094189139312731,0.9824209753657904,2.123161359160165,783.4546228399478,27.542292455751298,12.111342042175531,0.7885332600284318,2.8486716597157353,1.296747070952369,661.899149124594,13.357526184897383,13.699389018257216,0.1437603971406205,1.7750403023732952,2.6483497354319683,573.6874733481536,35.273859224886074,2.2999538833987594,0.1693870042269959,0.23949826065868252,0.5090394561014596,329.1011548051377,10.312494944916764,2.460535666215421,1.6464669605586313,0.10534068525008032,0.628945310245915,697.0311663634479,2.682519577013313,1.776915508017241,0.5751198505844254,0.6354790839857494,2.8574081348042943,773.7789554960498,71.6326721844184,1.6896158472832614,3.070892070854164,0.9924420624647609,2.7873033017796236,696.9172196750812,51.324847783412714,18.450132575979517,0.05217405870513418,1.8622599554747727
10,18,76329854.87088639,1.4652279615402222,0.6253857016563416,0.4511265866854313,756.573904390681,23.970935908742774,1.0153679380100697,1.1305795914085135,0.06990674888045362,2.73826081465465,492.6706843987662,28.258363137596923,0.015207242312048667,0.5622804471778613,1.3630083301413416,1.9233273373434756,742.2408505039577,11.04328618720737,0.03678707387096889,0.3746427106435689,1.008059109571048,2.589552635504603,780.2499675936918,11.317485890084235,0.0705939139227166,0.4649714863602256,1.878842450066907,1.6888204822541537,679.7937643796134,9.009451311256633,0.070999394907381,0.19771713845362618,1.1550689662682319,2.7734301874771465,499.98835392978737,37.72427942682469,1.328089808932165,0.1343907554998537,0.5789059046969488,0.12565014901869884,314.43767759885577,74.16464585176195,0.11884534199690745,1.1567506990492422,0.5658799405831755,0.7416319214186263,686.8910173963709,57.411722811231115,0.6186712246374215,1.1228454312404925,0.44681286336936454,2.6412936916338063,753.9106547045407,26.377237837768345,0.02440689486281448,1.4837340264909176,1.0229651144388103,2.724668263757245,794.420220905073,47.0628124187623,0.019443042613103322,0.1308231365412571,1.2243180054634488
10,19,950804161.3275896,0.2551107108592987,0.7098222970962524,0.5325561295642275,750.7725726581948,16.509948272722845,17.536219719739673,0.4195187128411209,0.26710253343004525,1.0075637165893765,797.9438885837939,29.00072086572033,12.250582801506818,0.570550744769498,1.3654868462489222,1.8557680313048317,373.47049661709445,11.77392568728285,15.690578821615293,0.5598586805540505,0.9957353874744024,2.1738949789408437,780.1054202267052,27.1758507433308,11.138039413069905,0.45959029757016323,1.8051918127527486,1.5308931450714434,668.0056358967898,13.308055294913322,13.583431651373429,0.10045136672971378,1.708521068943555,2.7079151663862495,573.6576657238613,32.385187054864275,11.247006373735672,0.33831830179849176,0.6745950700276468,0.5969728266575365,328.25428844112207,9.463834211059332,2.1016383709864765,0.4190838827321422,0.10134779747695491,2.438461799394087,675.0212723739986,6.366113079741617,1.7889353977516036,0.47982819699906937,1.0405415274463834,2.739894133522275,789.251421847962,37.962990166511574,1.856092598887897,2.477239530600441,0.9920189040707628,2.846224671027749,750.5275688388583,48.24307949692569,1.5099550280368774,0.21003997670444988,1.831072464882313
10,20,79148217.29804605,1.3224583864212036,0.6290181875228882,0.3713087472988242,776.5422876334558,23.85555467013886,1.265776872755493,0.23679406140203857,0.45931839531584573,0.9745502542549465,782.2991787355543,28.34602919616776,0.015260982135707013,0.5711152701742833,1.3637202902666814,2.147921844247068,772.4302135284775,11.064042698440824,0.003681450157198944,0.6993035096027043,0.5672185640644296,2.589552635504603,780.2496340623466,11.253295533666002,0.08164275740719154,0.4651193826950918,2.0198692371968603,1.1223617711306804,679.8254926872664,5.9678138218210295,0.04706908290481948,0.10878177512893852,1.1550658912427383,2.7630014322499954,500.2477662209304,36.947295249914724,1.3281755631494538,0.15092745427389134,0.5735519240585097,1.8858645867483121,314.49602588100106,74.13114778465209,0.045360566533019266,1.6106060185788014,1.331567416796062,0.6900550730207532,685.9884614637817,6.791421739954586,0.6293094131297747,1.2621557801135077,0.4471284288653925,2.6386085828654893,753.5796952660495,60.19046805930405,0.02377139352833684,1.5718141018084748,1.0337677446941997,2.8345112195078865,754.7212375240168,46.42847377656967,0.017517915631516248,0.0781101742746343,1.2713113153520528
10,21,962275754.9630895,0.0023582165595144033,0.6977270245552063,0.4442787656796546,751.5062220396558,19.241158743483602,19.280523187858012,17.86534644340297,1.8648088299601175,2.846876626989065,784.432813433679,28.981996749055256,11.673923595387315,0.5713864225009047,1.3643357516295294,2.072856950063952,773.0554603128397,11.003260118308294,17.585458782916938,0.7442416755719166,0.9431811488559098,2.1743168675549174,779.2292947315464,27.276135164056292,12.39834160044292,0.4725663607471957,1.850120886222989,1.4132139762001763,396.32655561886156,23.55679352410648,13.567608869525044,0.10166113389410886,0.4976978678507527,0.40353806932405967,575.0380679155983,26.508885518094406,2.0253191493696487,0.15553127704092223,3.118800237396755,0.7079410336014107,329.6353041152919,15.716429946169377,0.32609915217937413,0.4229902223585602,0.3899594080250467,0.8011148354431918,694.9915860367933,5.661108855078762,3.502719148706353,0.9450634727509561,0.10357425922173405,1.4501488757908017,784.4148106010883,56.29026420952066,0.028000073437680184,3.0802494525884434,2.217970434824103,2.907289676462266,479.08654019575647,54.575662570501855,0.016662564276304703,4.008678617251413,1.2696769785135726
10,22,199577105.59901482,0.6067991256713867,0.6504713296890259,0.45246641213604094,798.8125564543063,27.654055074035675,3.5088214959497486,16.20480895736015,0.29547090762837835,0.9252073608015381,786.9432510931057,29.24485562290691,0.07340761323007158,0.5635480674880762,1.862182177048169,1.5920547759155639,772.3251226722463,12.822116878398068,0.1929135577355503,0.6026601703681647,0.9594584599528031,2.3283925978684135,780.1298089735483,3.2586944017495405,0.0796066862929231,0.482216786098435,1.959363494397907,1.1408437001100262,661.4089723392817,6.006933732383518,2.064185830655004,0.5323180530609524,1.2602159902191528,2.605803882603475,499.7665534751394,38.18090322940501,2.2035158286522085,0.044720868694937216,0.023054323843730296,0.5672947141053615,338.040175744967,86.92758826377039,0.221361412837673,1.1568323545837433,0.547705226749654,0.8169194403075244,674.2442823782399,60.22222756243751,0.6038886456546781,1.094542145008231,0.23629387625799644,2.7231766554094357,726.6360989428958,57.76390995915662,0.024557202298696467,1.5855388749504233,0.8061883947856545,2.8495608161247423,634.9144142189796,46.22819845847403,0.04847516044819773,0.037939816819360005,1.7958302223389337
10,23,829000843.8985428,0.07922734320163727,0.6932151317596436,0.4442787656796546,772.2149466227461,21.343908669282694,19.280523187858012,17.43564215986748,1.8648088299601175,2.846876626989065,786.030641744282,28.995791407810703,11.673923595387315,0.5623454772935687,1.3643357516295294,2.072856950063952,748.1836733815635,11.003260118308294,16.985582590488526,0.7413417769109718,0.9431811488559098,2.1743168675549174,777.0984509299376,27.18461875137306,0.15939715201896476,0.12899680166951147,1.8481338626231687,1.4132139762001763,706.0225825861036,23.55679352410648,14.625128068443225,0.10041587835719475,0.4976978678507527,0.40353806932405967,575.0380679155983,37.60835232888558,2.0253191493696487,0.15562770085639002,3.118800237396755,0.7081774821935468,329.8122935034479,15.716429946169377,0.22086903852845724,0.4229902223585602,0.3899594080250467,0.8011148354431918,694.442108949558,6.487409164746246,3.502719148706353,0.9452197394996801,0.10357425922173405,1.4501488757908017,799.9929371345629,56.29026420952066,0.028000073437680184,1.5667673732867935,0.9980696610153615,2.907289676462266,483.5464458551222,54.575662570501855,0.016662564276304703,4.008678617251413,1.2323750143533538
10,24,119165552.21420038,0.955589771270752,0.5691395998001099,0.48193082746811555,773.689128256285,83.86982633136736,0.06273612663350128,0.8344761817129829,15.47562772090657,0.9203300699920977,764.6120184077442,22.027054047924764,0.015126670775151767,0.5602043894167358,1.36311393600921,1.037151709084733,763.7013725796493,10.437549430641583,0.0525623696103606,0.7373545278413776,0.9722115606481703,2.028765476978418,776.7534482679613,11.038217631431843,0.1349859494918914,0.4319645330330745,1.9486199586141368,1.2976876831294575,691.2072190128702,5.9166320869596944,2.049961673064526,0.0928988893472433,1.2603798179102776,2.7704171977952963,490.2936884467966,36.79032927966144,2.055370849312598,0.12020364114691703,3.1166747813320175,0.5352916969459838,668.5562835814907,74.66238878410816,0.18316500451451556,0.46494522250085324,0.5706476553931115,0.7492283967195191,694.6991306586946,11.37155675601861,0.19968387884541872,1.5824137632725594,0.4260613164705822,1.3964506539102572,786.669276322565,21.21202600013664,0.03291460028197113,1.4300245691024382,1.3347247275893064,2.68421087884843,764.0980467379882,47.16574315628162,0.0173393164339654,0.06510848025729593,1.8272870087334243
10,25,586917464.7758617,0.026625411584973335,0.6753358244895935,0.4880857147391871,751.412060699106,79.90895718388347,11.337583633915289,18.84663741186064,15.553552130219375,0.9541665028392287,799.4033524776245,28.944360175230003,12.688141966436568,0.367814960229963,1.364108042807287,2.119507159366551,366.7654363956184,17.911460790013862,0.05698967304106062,0.6324724543192418,0.6271207781875643,2.1183057639404375,781.2732097046595,11.336339142064217,0.5479526931216882,0.5117316026312284,1.9785242754584262,1.275609357803987,678.8547044657959,13.844577974855218,13.301572871906618,0.036757729149157065,1.7465060332250146,2.7085156401034394,553.1429186391537,24.452814542250664,2.124640755841013,0.20937773857922992,0.05312049536294661,0.5892418763931503,324.46247882913235,79.50037511800042,2.470431033753891,0.33046262156053874,0.6689003684486539,2.5318411890845933,545.1981954790706,7.037132255116499,0.37301422288720976,1.1016050954555912,0.4530871857432679,1.238266330253498,750.8038417781544,30.535749290417357,0.3340821072995116,3.2216523190238266,0.9307841476417091,2.7396163780522813,765.7591808568826,52.534019684195705,0.02360398958854667,0.09384019388746784,1.749696245083454
10,26,502215016.00015426,0.32134193181991577,0.6767619848251343,0.4586002428074798,576.5270922478113,79.38301940017735,18.899451051497756,0.6947068224858874,16.296517320849908,0.8327749460052833,795.4761969468066,22.974293800208322,15.674184468637007,0.3274649371469379,1.3637665710293774,1.9726150431671292,361.10160001462935,14.193689926920916,0.03168275861309367,0.7025756307804267,0.5173752010449496,2.01751882601538,780.2084858936603,7.273265435672728,0.0799372881795607,0.5121703261849939,1.9782019814543645,0.6415989320424047,679.2330211382528,6.68316983356692,0.010861591387752584,0.18603418742125508,2.0886683894785945,0.4781868323732856,572.0260317141395,36.664076900550704,1.292820356889898,0.8585544888215615,0.30831368947816423,0.6154699716430916,311.308597456075,75.87819590600853,3.2088862631083575,1.2530999609853537,1.473410608030791,0.7711919575466156,693.0054484060024,6.712994572212494,0.9420455786688038,3.7002156068196594,0.13308559546277865,2.7284102579815466,797.1517383585023,59.076683388794464,0.01761083880401701,3.060921496508288,1.034420813094912,2.800878802267574,768.1426074452964,63.38581999204388,0.20686388839273417,0.04973167204281442,1.6968167522577255
10,27,372091507.58911836,0.09552567452192307,0.632296085357666,0.4586002428074798,782.5897660070588,79.38301940017735,18.899451051497756,17.143118318683104,16.385456419010698,0.8677078903111664,564.4332797707527,23.10566971090738,0.05024446542645525,0.5639266549778313,1.3638071300676415,1.97338752931916,747.8030322194364,14.193689926920916,0.03168275861309367,0.7014479210212127,0.4376981362172324,2.0454055773816795,780.1457603549693,7.273265435672728,0.0799372881795607,0.5126303649917467,1.9782019814543645,0.6415989320424047,679.2512932624311,6.68316983356692,0.010861591387752584,0.18603418742125508,2.0886683894785945,0.4781868323732856,572.0260317141395,36.664076900550704,1.3357917470635132,0.8585544888215615,0.3079712575254211,0.6154699716430916,311.2071040889534,75.87819590600853,0.05088829460294225,1.2530999609853537,1.504688991456291,0.7711919575466156,693.0054484060024,6.712994572212494,0.9420455786688038,3.7002156068196594,0.13308559546277865,2.7284102579815466,797.1517383585023,59.076683388794464,0.026455030611035175,1.4808356653476713,1.0357225022118832,2.802883202131798,771.711614870551,63.38581999204388,0.04435027723126252,0.04973167204281442,2.4433518654300608
10,28,432907621.2056457,0.47548070549964905,0.699930727481842,0.5504303841515676,798.1298639256484,20.8263259698301,17.94067446573102,0.22446603378889662,0.2853014556775326,0.9238433723310738,796.4371745867736,29.24476917043656,11.65554523665808,0.5706027350960049,1.3908215417633516,1.597173196860445,775.4918568039719,10.573023258517741,0.18822784630112288,0.8964667383325473,0.9466183897721885,2.024458132704695,783.473926530011,11.857100197025986,0.9194645279468352,0.4398321338543668,1.9828087099154947,1.49259696716095,661.7138871046528,5.959753337920218,0.00804776171170975,0.1634718069716404,2.112127196167442,0.037716357006290835,501.4077321377142,38.18656372819396,2.186412789309645,0.14805622900979243,0.5818017719721511,0.7164314811848507,410.2321635830291,86.69988193656107,0.18236787372315888,1.1304665355537056,3.069358404775436,0.8163231076480322,690.8339036187393,17.864512336131234,3.4897023844847874,0.9605251575984126,0.24976411551326483,2.6505675124747614,792.9168208233598,23.7527962775384,0.03659115306777461,3.0837585315391483,1.030689472902399,2.847845627411676,696.1988821486021,60.17901499939799,0.04638390015272442,0.9531881651640426,2.4509584925133936
10,29,611997522.933406,0.23538319766521454,0.686197817325592,0.464614917687129,775.0893099557843,19.271121331279236,18.495567015083704,16.18566283888492,0.15954438298292012,0.9049890871703203,769.0921935929691,29.135744568997318,12.357587565057543,0.5636619103874789,1.3645694816352516,2.0844576547861853,746.0074042353442,12.759026771071492,0.18538695062255073,0.5613739377408079,0.9814384745662856,0.7047417300029386,780.2220092040153,11.835683910062805,12.412073542059483,0.472021875648226,1.9845074166556986,1.4136734212011879,680.1738256715107,23.652216182759418,0.5557428079291398,0.42344108827271487,2.204465950041337,0.5946522790199344,507.6330975897594,36.97047347372949,1.7978507604155152,0.16858319798166438,3.1295524361608966,0.7033563990117702,340.111992654481,61.06366636162522,0.31843653460856347,0.5101571996245169,0.39015446677358434,0.7637055499634766,694.8797575900509,16.654410984534916,0.5834105564880989,1.659602063802117,0.4384536215258603,2.6501978065231686,765.333835626186,57.60117323036576,0.03203207465573025,3.0190080360384792,1.0027826287366517,2.9588666777436257,752.716837689655,61.53401515351368,0.01623280235011266,4.111801207913962,0.3477950723198793
10,30,247685492.1369265,0.5877721905708313,0.6524937152862549,0.462703110789139,798.8125564543063,21.013427170103604,3.3181465178334237,14.516877513217018,0.2939190980008106,0.9252073608015381,786.9432510931057,29.24485562290691,0.07340761323007158,0.5635480674880762,1.3656474634616793,1.5920547759155639,788.818270424431,12.856655952712664,1.123206558554557,0.7120989042244109,0.979352038822098,2.3283925978684135,780.1640428073445,3.2586944017495405,0.5619394218154365,0.4966704368432352,1.959363494397907,1.1408437001100262,661.4089723392817,5.47180640506562,2.064185830655004,0.5220775964846557,1.2602159902191528,2.736111253124885,493.5751070537951,25.633440538266708,2.2035158286522085,0.05205308951589019,0.023054323843730296,0.466729421106987,338.2332048369071,86.92758826377039,2.5397301797294443,0.38972129523516963,0.5441236223527874,0.8169194403075244,674.2442823782399,6.212622604858133,0.6038886456546781,1.1213701448367,0.5180647116026559,2.726460442874074,726.7871169695567,57.76390995915662,0.024557202298696467,3.005837879999718,0.8038308558285617,2.804805563792766,633.6529193901847,46.22819845847403,0.04847516044819773,3.845917688431149,1.8503169604078722
10,31,327553405.9792056,0.19911079108715057,0.6144257187843323,0.35934695614569784,744.6947127080911,85.13749571955313,2.863399926491596,18.3590849033045,16.35784881550884,0.8362997454339351,494.1911463534493,22.787036967773822,0.051010057839332074,0.5638203916360608,1.456227760602569,2.115448820462145,667.1534332521338,16.63242258178212,0.03329765183672008,0.7476377910548014,0.5596623613004544,2.3116030235571605,776.4719926211833,10.15613079557709,0.08026629806065526,0.47089823889604254,1.9965219148458677,1.5414928710615976,679.7922270220706,4.87708986478143,11.075851494391255,0.15275312076930936,1.1511567926447286,2.773745763351684,494.4399468221837,38.03523632551762,2.039971710055537,0.11337943890976804,0.14157608146739073,0.5529058250834984,339.40502349848776,74.27994895366189,0.11661437322531457,0.33612332769887054,0.5728796591555713,0.7396181474016494,686.221412973577,62.36053960284383,1.6796890827597701,1.2892692296703363,0.6247274599581143,2.7741781833204158,754.3775305943498,31.82946960129738,0.04329172565780376,3.099868988834619,0.9883793192910739,2.7302462448361062,636.7803177214391,47.089160141499654,0.017435939247952174,0.11772907244706052,1.238973217720009
10,32,551551111.7203846,0.12032807618379593,0.6683176159858704,0.615687564666096,750.1400077350621,89.69042838932104,18.899451051497756,17.143118318683104,16.208224424533938,0.11027632722591907,569.5587552318051,30.341888266677103,12.998103139701449,0.5590306466596316,1.4059415428389306,1.918969177800178,747.8843426793846,11.694923828843638,0.3022097652429682,0.7074380090938795,0.5495294331279175,2.4212210671730405,780.1117630661995,7.181034990194247,0.03375270623131271,0.8152807414081014,1.7584453333011458,1.1190552038032633,678.4879323520896,23.822840579265293,2.1459519519283665,0.6699468106138043,2.0886683894785945,2.5896448721909735,572.1246094200411,5.908614925873051,3.207161588089116,0.1426686483027796,0.30681000853662793,0.5007107666219084,319.49373991092864,80.80054852795395,0.04688654357829547,1.1082744096339698,1.4421349631722866,0.771128480476072,693.0054484060024,66.00507979381445,0.9214305931022977,1.076757548437097,0.4667048816093671,1.3744697568320041,791.408415440862,60.613511554104264,0.20142407324947154,3.887430146118958,2.4489790664313618,2.7256159047710584,754.9804163708582,16.568278746700482,0.03181981905127304,0.2508059785872597,2.5078152849676933
