num_planes,cost,revisit_time,quality,f_phasing,plane_1_alt,plane_1_inc,plane_1_high_q,plane_1_med_q,plane_1_low_q,plane_2_alt,plane_2_inc,plane_2_high_q,plane_2_med_q,plane_2_low_q,plane_3_alt,plane_3_inc,plane_3_high_q,plane_3_med_q,plane_3_low_q,plane_4_alt,plane_4_inc,plane_4_high_q,plane_4_med_q,plane_4_low_q,plane_5_alt,plane_5_inc,plane_5_high_q,plane_5_med_q,plane_5_low_q,plane_6_alt,plane_6_inc,plane_6_high_q,plane_6_med_q,plane_6_low_q,plane_7_alt,plane_7_inc,plane_7_high_q,plane_7_med_q,plane_7_low_q,plane_8_alt,plane_8_inc,plane_8_high_q,plane_8_med_q,plane_8_low_q,plane_9_alt,plane_9_inc,plane_9_high_q,plane_9_med_q,plane_9_low_q,plane_10_alt,plane_10_inc,plane_10_high_q,plane_10_med_q,plane_10_low_q
2,410000002.0,1.802086591720581,0.3519243896007538,1,329.9541755598265,95.94000395999441,20,0,0,792.9516934957442,33.69504036699041,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,71950002.0,3.4902429580688477,0.25929316878318787,0,777.8408270676875,36.34615472973683,0,1,2,798.6845024181034,25.452558660077525,4,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,393625002.0,1.4640244245529175,0.29450902342796326,0,696.4536077683849,27.32704481648295,19,1,0,780.3005209153897,33.585274464610904,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,91800002.0,9.339202880859375,0.49769195914268494,1,383.2755791836216,41.426627287795064,7,2,0,543.9169717721096,44.77775698225406,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,24175002.0,11.815544128417969,0.5256320238113403,0,328.5493585733252,37.81298160354652,0,2,0,314.6076991767291,32.92180218452732,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,38100002.0,5.738391399383545,0.2614438235759735,0,757.2417745936184,40.0093061857293,1,1,2,798.9237466361403,33.585274464610904,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,326000002.0,1.5374360084533691,0.2811470925807953,0,740.9707889433641,38.26520990042872,12,2,0,779.4765433016961,33.94487264193705,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,81225002.0,7.071200847625732,0.388889878988266,1,304.6076385544119,41.727278780191874,1,0,2,524.8152860318967,38.190883179790745,3,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,262500002.0,4.8629469871521,0.49954932928085327,1,330.35411969002445,41.50937428692075,7,4,0,421.86056095715503,38.048439329489185,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,99475002.0,10.101449012756348,0.5436350107192993,0,313.94339672483454,43.23163120732054,8,1,0,398.75504303044414,40.231569783078186,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
