num_planes,solution_index,cost,revisit_time,quality,f_phasing,plane_1_alt,plane_1_inc,plane_1_high_q,plane_1_med_q,plane_1_low_q,plane_2_alt,plane_2_inc,plane_2_high_q,plane_2_med_q,plane_2_low_q,plane_3_alt,plane_3_inc,plane_3_high_q,plane_3_med_q,plane_3_low_q,plane_4_alt,plane_4_inc,plane_4_high_q,plane_4_med_q,plane_4_low_q,plane_5_alt,plane_5_inc,plane_5_high_q,plane_5_med_q,plane_5_low_q,plane_6_alt,plane_6_inc,plane_6_high_q,plane_6_med_q,plane_6_low_q,plane_7_alt,plane_7_inc,plane_7_high_q,plane_7_med_q,plane_7_low_q,plane_8_alt,plane_8_inc,plane_8_high_q,plane_8_med_q,plane_8_low_q,plane_9_alt,plane_9_inc,plane_9_high_q,plane_9_med_q,plane_9_low_q,plane_10_alt,plane_10_inc,plane_10_high_q,plane_10_med_q,plane_10_low_q
5,7,77668127.80933096,0.9538530707359314,0.6251987814903259,2.097223146947114,799.3404468583767,26.759536671906318,1.3044761748073155,0.015754660615049418,0.8335924437155965,789.7783247395415,88.65475144631317,0.26614549365722234,10.16012782081611,2.349439630312037,779.8605593915219,10.797454745085364,0.003136918692852479,0.45795856332198864,0.7073263143036614,303.761241907061,21.82370683926651,0.09073669409873109,0.1319893957147908,0.8478200218351756,790.8918613187911,8.200316955129281,0.05060340509622811,0.6911551136456945,0.31233827596297126,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,8,35986883.20299204,1.345749855041504,0.59845370054245,2.613885404283504,798.7096455953812,26.75940521805351,0.08455081883408645,0.12467944579725515,0.8372564666371701,785.9734814180684,87.62287108866816,0.15006997968318014,0.16685504737252382,6.603867163317609,312.7241431708387,17.358220483961883,0.007200651034439454,0.5338226981070613,0.6991666698043697,420.9646612610686,15.972504180048436,0.0537649078689404,0.16826828517984327,0.8514989414272895,791.030169816138,10.645451842707462,0.011636404865537232,2.2025649659762063,0.4621232197961324,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,9,86580733.93699153,0.6964246034622192,0.6030251383781433,2.5538628434074235,797.1263293846616,27.777536852653228,0.0857469679797806,5.192012938984046,0.7426811449669456,783.6958227398119,86.83459211636736,0.14854237848801316,10.14973985074805,1.3921302987768613,361.34923207329143,17.299431461202854,0.002416827049789745,0.65349915354846,0.7090625794322987,411.756278518892,14.767710023074134,0.19699810037885027,0.21256156592335934,0.8501831972374806,788.5714176465757,11.729579268853602,0.08747656068932194,0.6896940603780043,0.5229825589168042,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,10,100998907.32444327,0.8310127258300781,0.6549087166786194,2.5563180016535374,799.6054429258287,26.301104585148888,3.0971657771868917,0.1929306331830563,1.051919222701333,796.3549018543546,81.06798860896593,1.0434054975124996,8.315426341896618,0.5895620306372537,312.60744471045325,18.64724951792218,0.011752161551663169,2.02455806511076,0.2660350254312717,308.44975232687244,23.468277774132865,0.17805848932366125,0.11044723203159068,0.7472954536934913,755.3222501574024,12.9740410423395,0.052072267267544575,0.5438627393985824,0.5267680577786358,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,11,138184282.6933154,0.4708835482597351,0.5803598761558533,2.3418690958226054,799.2392494061082,26.815530315619252,0.2611407046906358,0.11119753581168788,0.7359530485283778,783.6765579081191,86.38614204175029,0.21314463475547885,10.150113563434871,9.02215728956326,799.736932246121,11.08321837770448,0.03962831404866165,13.88177144497768,0.2759533897613652,393.2428729335016,19.34168867976854,0.05332173600695184,0.16906646191236246,1.0739760387384787,772.5088591194888,10.494057122357194,0.07837956503194199,2.179360285143526,0.0463173836115732,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,12,36040943.81370863,1.3059825897216797,0.596280574798584,2.613885404283504,798.9515293883172,26.72656246878342,0.0840919422012596,0.11257496369364789,0.9159442282738652,785.9734814180684,87.62287108866816,0.15006997968318014,0.16685504737252382,6.603867163317609,797.0377370061263,17.358220483961883,0.006494036207823837,0.5338226981070613,0.6991666698043697,420.9646612610686,15.972504180048436,0.053849787818616324,0.16826828517984327,0.8514989414272895,791.030169816138,8.276312100012497,0.011327579622186109,2.2025649659762063,0.45971502339390513,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,13,159320050.83392698,0.4157238304615021,0.6185874342918396,2.645979302738004,799.2473120584012,26.83971357409504,0.011993382791202656,0.11206738414643046,1.194137275082648,797.546791980105,87.63110615797434,2.4962349267601383,10.150113563434871,9.166640567693385,799.0409726015608,14.13526140401889,0.043332284122073704,14.612939469485438,0.2648828900664383,393.2428729335016,20.91349507816431,0.12320520442725885,0.16817033759369562,1.0739760387384787,756.3019819999187,8.21822141664254,0.08235783231963983,1.0958924121413782,0.06513939555536752,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,14,153663293.02503484,0.47721078991889954,0.5893242955207825,2.543046131729402,799.4299808726319,26.845114667287433,0.0914789986332908,0.00997972026076073,1.1884391871706959,783.6765579081191,87.62011077944761,0.21314463475547885,10.150113563434871,8.981441642267923,786.8232858926783,12.478842103440664,0.0450574240543057,13.88177144497768,0.7108933662097436,414.36706733811627,16.178096170229683,1.5313327333541094,0.1640552939653487,1.0748702432486168,790.9243907308608,8.27145093576927,0.0571267747979477,2.3546070759067415,0.4541477844481541,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,15,81395281.18695074,0.7143921852111816,0.6122580766677856,2.6470481514682755,799.9694351273455,26.840034957453287,0.022433670848353904,5.323404528131782,0.7483743196062294,797.5854921672262,86.62474244815662,0.020696337548218903,8.262203666188114,1.2162704385447627,365.01329742070413,14.249157000869626,0.006603501074366502,1.2652580378483702,0.40666176017380024,313.90439772957404,21.008669680740645,0.050207444348004046,0.30089610149950047,0.8095291486845629,793.1060680920186,7.045929169615144,0.2595522829659706,1.1304621082755317,0.3974221954998527,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,16,32391695.272320997,1.440106987953186,0.6344022154808044,2.804899018308545,799.5765574421449,26.751917611886835,1.0639156371843037,0.0007656143197845022,0.8910195865936551,795.411199355766,80.22571817280073,0.1089714860550004,0.2790462465288055,0.8092063806875347,331.30143714429227,20.067804793630632,0.004320573360770686,0.559250206271281,0.9918514124254627,347.0603590834293,22.64707138974203,0.15610313548860333,0.20577276207076592,0.810571266313174,793.4339420699222,8.086328233713328,0.10501295693397851,0.4696326029114621,0.6274792748947577,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
