f_phasing,altitude_plane_1_km,inclination_plane_1_deg,high_q_plane_1,med_q_plane_1,low_q_plane_1,altitude_plane_2_km,inclination_plane_2_deg,high_q_plane_2,med_q_plane_2,low_q_plane_2,altitude_plane_3_km,inclination_plane_3_deg,high_q_plane_3,med_q_plane_3,low_q_plane_3,altitude_plane_4_km,inclination_plane_4_deg,high_q_plane_4,med_q_plane_4,low_q_plane_4,altitude_plane_5_km,inclination_plane_5_deg,high_q_plane_5,med_q_plane_5,low_q_plane_5,altitude_plane_6_km,inclination_plane_6_deg,high_q_plane_6,med_q_plane_6,low_q_plane_6,altitude_plane_7_km,inclination_plane_7_deg,high_q_plane_7,med_q_plane_7,low_q_plane_7,altitude_plane_8_km,inclination_plane_8_deg,high_q_plane_8,med_q_plane_8,low_q_plane_8,altitude_plane_9_km,inclination_plane_9_deg,high_q_plane_9,med_q_plane_9,low_q_plane_9,altitude_plane_10_km,inclination_plane_10_deg,high_q_plane_10,med_q_plane_10,low_q_plane_10,total_system_cost_usd,mean_revisit_time_hr,mean_achieved_quality
3,591.45,58.17,0,0,2,639.2,96.09,4,5,6,416.63,39.22,3,6,2,778.54,72.83,1,9,3,379.81,71.08,1,1,3,481.19,51.99,1,7,9,748.61,90.95,4,3,10,428.75,34.4,1,0,4,672.97,82.45,6,4,6,-1.0,-1.0,-1,-1,-1,429375000.0,1.555,0.3019
2,658.73,44.14,7,1,8,452.25,46.92,6,4,3,508.14,86.25,4,3,1,598.64,57.92,4,0,6,541.34,80.09,11,1,1,503.69,42.08,0,4,6,555.76,48.69,10,2,3,638.32,61.25,1,0,13,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,566175000.0,1.6332,0.3514
0,589.67,47.03,0,6,6,301.29,49.49,4,7,3,571.43,38.61,7,4,2,376.07,59.6,2,6,8,635.33,41.13,0,6,6,385.59,27.71,4,0,6,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,341925000.0,2.4967,0.3827
0,376.9,70.67,3,2,4,682.45,33.25,4,1,1,566.06,57.01,3,3,2,476.19,26.0,1,1,8,671.92,53.18,4,4,5,661.26,27.69,3,9,2,439.93,31.14,0,2,3,555.66,79.63,1,0,2,533.2,37.01,1,0,4,444.93,55.17,3,5,8,407575000.0,2.2731,0.3349
2,680.85,94.26,0,3,1,696.98,60.71,1,2,5,339.7,75.47,13,3,4,764.62,52.32,3,1,3,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,231525000.0,3.4657,0.3546
3,694.7,43.79,2,5,2,575.34,56.36,1,4,3,353.18,82.19,7,7,4,576.17,49.82,6,5,4,315.71,36.68,4,5,10,493.2,51.17,0,5,12,483.3,38.03,4,1,4,327.32,86.62,4,1,6,645.89,48.99,0,5,13,-1.0,-1.0,-1,-1,-1,533650000.0,2.1085,0.3935
2,729.81,83.02,6,2,7,630.84,95.29,5,2,4,314.87,75.23,1,1,4,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,166875000.0,3.5119,0.3021
2,365.06,30.16,3,3,6,668.43,71.8,5,2,2,491.41,93.16,4,2,6,626.53,85.08,5,6,3,508.35,51.91,6,2,8,474.69,93.97,0,4,10,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,368375000.0,2.4488,0.3426
2,587.63,84.89,6,6,4,353.64,52.83,5,2,11,312.65,65.02,0,3,3,493.93,79.94,1,8,9,356.98,92.82,0,5,12,323.13,63.58,5,5,7,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,365175000.0,3.2552,0.4243
2,580.17,79.83,4,5,6,398.91,26.36,2,0,1,669.09,92.64,4,4,5,325.78,46.73,2,7,6,314.21,28.37,0,0,2,796.34,28.73,0,1,2,310.69,60.57,5,4,10,618.15,73.63,7,10,1,543.09,83.96,5,0,6,563.99,25.54,0,0,2,488675000.0,1.8045,0.3692
1,406.09,76.72,3,7,8,407.2,83.06,0,6,6,688.78,42.93,4,3,6,444.28,74.08,0,0,2,602.89,59.46,1,1,2,468.12,96.88,2,2,2,741.81,96.48,7,10,3,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,338825000.0,1.7979,0.3051
2,529.95,43.06,6,5,6,784.49,67.57,12,0,8,346.52,81.41,4,7,4,769.39,46.1,5,4,2,393.27,49.61,1,1,3,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,392775000.0,1.2513,0.2903
3,749.33,91.87,6,2,10,694.57,83.34,0,1,3,343.2,97.9,0,1,6,311.24,62.71,4,2,5,786.19,48.52,0,5,5,378.79,41.97,6,4,7,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,281675000.0,2.836,0.337
2,770.59,89.89,4,11,2,744.39,33.97,1,1,2,744.84,82.36,1,3,4,583.47,32.81,1,7,12,598.03,85.3,7,6,7,486.4,82.39,2,7,7,459.89,35.45,3,1,4,670.45,71.35,2,4,10,464.49,51.93,1,1,1,-1.0,-1.0,-1,-1,-1,470575000.0,1.4784,0.2931
2,791.98,57.87,6,5,7,698.36,75.96,4,5,7,686.43,63.89,0,4,4,524.34,25.12,1,3,3,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,215425000.0,1.949,0.2637
